'x', 'y', 'distance', 'angle'
3.0, 0.0, 3, 0.0
24.0, 0.0, 24, 0.0
42.9739611603369, -0.994383168615933, 43, -0.0523598775598299
59.93255001475392, -2.180243222266063, 60, -0.06981317007977318
84.91732069023131, -1.307755804703539, 85, 0.03490658503988659
104.9142745933591, -1.656803933449209, 105, -0.01745329251994329
123.8679915482958, -2.98217693458759, 124, -0.06981317007977318
142.8564172616586, -3.645267371935108, 143, -0.03490658503988659
163.8532188599428, -3.278766836752154, 164, 0.01745329251994329
183.8258095550343, -4.325485961611031, 184, -0.0523598775598299
203.579576366937, -7.454175262415649, 204, -0.1570796326794897
224.4996650268637, -9.28444586011647, 225, -0.08726646259971648
243.3580419080488, -11.59996338481427, 244, -0.1221730476396031
263.054196968293, -15.07292693815288, 264, -0.1745329251994329
280.5195200412609, -19.4275210589469, 282, -0.2443460952792061
298.5895938508688, -25.2988439520709, 301, -0.3141592653589793
317.6220573786384, -34.17382744862559, 322, -0.4363323129985824
334.0050982644183, -45.64535617564651, 342, -0.6108652381980153
353.7386433009224, -52.82777918548556, 363, -0.3490658503988659
373.4721883374265, -60.0102021953246, 384, -0.3490658503988659
390.0412756995704, -67.04336250813153, 402, -0.4014257279586958
407.8614061833377, -76.12317250292246, 422, -0.471238898038469
423.7961469743008, -86.47131416820796, 441, -0.5759586531581288
436.9605136034459, -98.74728464933295, 459, -0.7504915783575617
449.1734781874902, -113.3021290685935, 478, -0.8726646259971648
456.6992051279414, -132.9073180250347, 499, -1.204277183876087
469.9471867337716, -154.1085204289454, 524, -1.012290966156711
485.2680755961511, -166.9642726226762, 544, -0.6981317007977318
499.3617143295869, -176.4705519816789, 561, -0.5934119456780721
516.2146920782044, -190.6118793947828, 583, -0.6981317007977318
530.1104124089687, -203.5698482359702, 602, -0.7504915783575617
541.4381794478657, -217.5584755421957, 620, -0.8901179185171081
550.1647526122997, -233.3016302707048, 638, -1.064650843716541
557.656884480618, -251.8453073620406, 658, -1.186823891356144
559.7474537459711, -271.735745269406, 678, -1.466076571675237
562.0629712706688, -290.5941221505912, 697, -1.448623279155294
569.5551031389871, -309.1377992419269, 717, -1.186823891356144
576.0534858621748, -326.9919590368592, 736, -1.221730476396031
581.5662329785147, -346.2171929556256, 756, -1.291543646475804
584.6919001765194, -363.9437325098453, 774, -1.396263401595464
583.959010745767, -384.9309398772463, 795, -1.605702911834783
577.9109633557753, -409.1883330341463, 820, -1.815142422074103
