'x', 'y', 'distance', 'angle'
2.999815771814119, -0.03324658140717691, 3, -0.01108242065823806
21.99124434653662, 0.5374027778439543, 22, 0.03003869403366943
36.97915031833862, 1.139627470481093, 37, 0.04015910643084886
51.97908317163924, 1.184509498875878, 52, 0.002992139691038176
67.96012843919346, 0.4059260695744701, 68, -0.04868068938005488
83.94711524804547, -0.2392504749401632, 84, -0.04033446962859166
98.94606037575326, -0.417141048076974, 99, -0.01185964955299545
112.8468533347464, -2.080858305066762, 113, -0.1191184464694777
127.7216874213757, -4.014588093649127, 128, -0.1292750937811132
140.6236548924328, -5.608085936692548, 141, -0.1228858051945059
156.5849061571986, -6.720946243745973, 157, -0.06960997198484931
169.4190358270925, -8.790998324334126, 170, -0.1599154899616622
184.2383667690635, -11.11208221604123, 185, -0.1553631911180626
199.117568003032, -13.01191658752459, 200, -0.1269967203052986
214.0104690869713, -14.80118942977055, 215, -0.1195695645191528
229.8594863911892, -16.99405296647384, 231, -0.1374867044086924
243.7661707036542, -18.607785110741, 245, -0.115523366024159
258.7202396705222, -19.78073921647248, 260, -0.07827685307570476
273.6489027570915, -21.24190944875303, 275, -0.09756606595673635
289.562568062089, -22.9018059999035, 291, -0.1039305353426216
305.4769444115633, -24.55487145755809, 307, -0.1035012853457066
320.2998894674606, -26.85276176604792, 322, -0.1537982924924854
334.2063363077754, -28.468539064285, 336, -0.1156704299383221
348.0940445799008, -30.23816019558391, 350, -0.126740546035649
362.0134474634655, -31.73823464874014, 364, -0.1073542649760548
376.8711902008229, -33.79917636322462, 379, -0.137832115287976
391.8106353631009, -35.14564516839256, 394, -0.08988557529399156
406.6671805147966, -37.21520216340961, 409, -0.1384119898805176
422.6030874165718, -38.64589123443679, 425, -0.08953765610189013
437.4702540380157, -40.63771367888941, 440, -0.1331815278213
452.3499407432298, -42.53374204225143, 455, -0.1267409306327565
466.27367491148, -43.99306613644737, 469, -0.1044271285841849
481.1570893868478, -45.85960666759454, 484, -0.1247594286120071
497.7522928443922, -49.54731899405201, 501, -0.2186625912345175
511.5166574438627, -52.10510459351924, 515, -0.1837309305713262
524.1362673398978, -55.22687429545008, 528, -0.2425060828889538
538.6447415972682, -59.03530897694613, 543, -0.2567057633338163
551.6705373694887, -64.16645353741256, 557, -0.3752555687026673
564.9093789498184, -71.21862154526203, 572, -0.4894545320172696
578.3966562092323, -79.82637108435144, 588, -0.5680441032261481
590.4532580568248, -86.94243403296502, 602, -0.5331982347881539
602.7737076465601, -93.59123256403747, 616, -0.4948665108807617
615.0288660022328, -102.2405732139011, 631, -0.6145889147048242
625.0069891511401, -112.0608104017312, 645, -0.7774236336102796
636.2508064621469, -121.9893839285125, 660, -0.7233571843266491
645.5597062471682, -131.0637646121973, 673, -0.7726416599743269
657.4005769720231, -141.8245164668435, 689, -0.7376450553249643
668.3429550017007, -154.8346803034611, 706, -0.8715131098619739
676.8441862688769, -168.3893498657184, 722, -1.010630186033342
683.2790003454075, -181.9390054997367, 737, -1.127424609361678
689.2546681385909, -193.4841947327251, 750, -1.093176403865878
697.0233506485238, -206.3157017393032, 765, -1.026387855695565
703.3694607351263, -218.7947596672368, 779, -1.100339447021912
709.2288410605187, -232.6030058340172, 794, -1.16948550413354
715.2062226673908, -247.4445323433027, 810, -1.187924014594248
720.2460854073281, -260.5059175517173, 824, -1.202538942223798
725.5178103213956, -273.4754555708759, 838, -1.184725049064788
729.5554118955318, -286.8805953884433, 852, -1.27824079390605
731.7279188567923, -301.7224353519814, 867, -1.42545133005407
734.1911616732461, -316.5188009471939, 882, -1.405832967553296
737.5208604332989, -332.1685008218658, 898, -1.361157985830621
741.9683612701723, -348.5764177007999, 915, -1.306098432463601
744.5622401691495, -363.3504419412511, 930, -1.396997424066301
745.0561141690031, -378.34230935236, 945, -1.537865441848425
745.6980337570537, -392.3275851538048, 959, -1.524928846475743
745.2087473335248, -406.3190324983704, 973, -1.605752475620156
745.3608939408588, -422.3183090885752, 989, -1.561287020520979
744.6883158992758, -437.3032227946323, 1004, -1.615649901113509
741.8043866492818, -452.0233774161378, 1019, -1.764262907176108
741.7147575216434, -467.0231096343969, 1034, -1.576771637528151
739.3385296770052, -481.8336984555871, 1049, -1.729881693990751
737.5355616814674, -495.7171168533401, 1063, -1.699938420928195
733.2799935958621, -511.1408044885581, 1079, -1.84000947086547
731.0250303464265, -524.9580090084201, 1093, -1.732569827604994
727.7921228212088, -540.6279901485935, 1109, -1.77425383043532
723.3418566356302, -554.9526238569121, 1124, -1.872015191068351
716.2437304073812, -568.1668814617812, 1139, -2.063725549912675
710.9527412502045, -580.0414523482865, 1152, -1.989962732710746
703.8005282645359, -592.0766444700448, 1166, -2.106995584252424
697.6241500436694, -605.7460391922996, 1181, -1.995179278138639
692.4623475468692, -618.7597164198948, 1195, -1.948406622274723
686.8879876039415, -631.602088133355, 1209, -1.98031578528392
677.727320726169, -644.7200979806787, 1225, -2.180398918390658
670.3065363972364, -657.7558933128964, 1240, -2.08830773671449
663.246174775717, -669.8451982463231, 1254, -2.099380841436404
655.0891126837449, -683.6097301318509, 1270, -2.105767663107574
646.2484377684441, -695.7275874936938, 1285, -2.201085418891349
635.507117171948, -706.1977370553424, 1300, -2.368977963536186
623.8902535489585, -715.6871247892723, 1315, -2.456653552678902
613.0631194523071, -727.4673271327437, 1331, -2.314061962273583
603.8541587380657, -738.0122331334418, 1345, -2.288667756627515
594.044707985498, -748.0009605765622, 1359, -2.347139526196152
582.840039822243, -757.9736939707395, 1374, -2.414301145009111
571.7722666301281, -768.0981394650815, 1389, -2.400678053458425
560.3126682042686, -777.7768585909803, 1404, -2.440244872396101
549.1099034941454, -787.751730161563, 1419, -2.414110299729249
537.9180067317431, -797.7387941375135, 1434, -2.413021432708141
527.8690806241382, -805.9861624501266, 1447, -2.454343823489231
516.2735888973847, -815.5016535890429, 1462, -2.454404457868026
505.3033478329078, -824.1995735120627, 1476, -2.471217502987677
493.9506992044458, -834.003520121397, 1491, -2.429266013077828
481.245660822606, -843.7288478647679, 1507, -2.488263938753013
470.3415591192218, -852.5095406644425, 1521, -2.463649505862676
457.2519836739381, -863.356799058259, 1538, -2.449598338182386
446.6396662751192, -872.4879939103431, 1552, -2.431072425801193
434.7197048774115, -881.5937349717373, 1567, -2.489250362250186
423.4605128053508, -891.5048698151569, 1582, -2.419785366841192
