'x', 'y', 'distance'
2.995888604263722, 0.1570078687288315, 3, 1716391443.398062
15.55689564934537, 3.522719562580103, 16, 1716391443.398062
21.6489704974141, 5.620389154997607, 22, 1716391443.398062
28.07832576813884, 9.184238976565899, 29, 1716391443.398062
34.86852588650475, 13.26420282300826, 36, 1716391443.398062
40.17853823143831, 16.32993987975588, 41, 1716391443.398062
44.35404660638818, 18.74067076403673, 45, 1716391443.398062
50.16672841717103, 21.96269290496853, 51, 1716391443.398062
54.39400299347007, 24.30590946558726, 55, 1716391443.398062
60.22675214881895, 27.40723720400178, 61, 1716391443.398062
65.37075364997775, 30.02823688107974, 66, 1716391443.398062
70.43028675452907, 32.49593605909722, 71, 1716391443.398062
75.47816124046055, 34.84979858929229, 76, 1716391443.398062
81.43615741471526, 37.50246939302901, 82, 1716391443.398062
86.55770151831524, 39.67643588511399, 87, 1716391443.398062
90.6765289476999, 41.3405501862746, 91, 1716391443.398062
94.7392627917278, 42.81926437524666, 95, 1716391443.398062
99.71338754349567, 44.53199287922793, 100, 1716391443.398062
107.6379144464733, 46.95476388951277, 108, 1716391443.398062
114.7813145955385, 48.73581358218889, 115, 1716391443.398062
120.8406154959627, 50.13471342055531, 121, 1716391443.398062
126.8654026705838, 51.41532146718641, 127, 1716391443.398062
132.8177762417405, 52.89941488185945, 133, 1716391443.398062
138.7298662241917, 54.70692218103919, 139, 1716391443.398062
145.4220596500718, 57.54758975552873, 146, 1716391443.398062
151.2300362480105, 60.63574569152191, 152, 1716391443.398062
156.1232430227768, 63.69336063762844, 157, 1716391443.398062
162.8031117811978, 67.86740589954232, 164, 1716391443.398062
168.1148817284612, 71.05903927818702, 169, 1716391443.398062
172.3022453708867, 73.5750611884683, 173, 1716391443.398062
178.1026710280137, 76.92393850302496, 179, 1716391443.398062
183.260591166397, 79.78302032240139, 184, 1716391443.398062
188.2803912395961, 82.56554093945892, 189, 1716391443.398062
194.0402201425258, 86.02639529956607, 195, 1716391443.398062
201.3796421291551, 91.16551390070601, 203, 1716391443.398062
206.5965553241058, 95.2414131946542, 208, 1716391443.398062
211.4292963674297, 99.44245089091579, 213, 1716391443.398062
217.1429789279578, 104.4092793648748, 219, 1716391443.398062
221.6297173734265, 108.1740999396565, 223, 1716391443.398062
227.3575027514646, 112.8123690843595, 229, 1716391443.398062
233.3798727677203, 117.5175602155651, 235, 1716391443.398062
238.5246779106178, 121.683741274183, 240, 1716391443.398062
244.2511068577136, 126.488785691654, 246, 1716391443.398062
250.5445339038701, 132.5662775451946, 253, 1716391443.398062
256.418194203679, 138.648630838555, 259, 1716391443.398062
261.4914125134664, 144.2830105838654, 264, 1716391443.398062
266.5156382112292, 149.8629785211272, 269, 1716391443.398062
272.7379393969648, 157.0209172254114, 276, 1716391443.398062
278.2663370180474, 163.1608248103377, 281, 1716391443.398062
283.9961354735176, 169.7522039332543, 287, 1716391443.398062
289.2471430629332, 175.7927971701958, 292, 1716391443.398062
294.3334748569675, 181.6439525746967, 297, 1716391443.398062
299.2614222282591, 187.5168515585487, 302, 1716391443.398062
304.7607874087905, 194.3080019827348, 308, 1716391443.398062
311.0646761388676, 202.3766116130732, 315, 1716391443.398062
318.2475333446822, 211.9085850724883, 323, 1716391443.398062
324.9884712871739, 221.53564215863, 330, 1716391443.398062
331.3536117449907, 231.7219962154705, 337, 1716391443.398062
336.8369070565957, 240.8477320982435, 342, 1716391443.398062
342.2488819072621, 250.6111931791736, 348, 1716391443.398062
347.2962261199554, 260.1038670196986, 353, 1716391443.398062
353.9329277399089, 274.3363195730458, 363, 1716391443.398062
359.654521488883, 287.1872295385823, 368, 1716391443.398062
364.6758799756591, 298.4653853548376, 372, 1716391443.398062
369.6885511832228, 309.7240292225164, 377, 1716391443.398062
374.2893319032825, 320.05755190844, 381, 1716391443.398062
379.459226376192, 331.669325011799, 387, 1716391443.398062
384.7500281348403, 344.133672852015, 393, 1716391443.398062
390.0881615515204, 357.3460166934221, 399, 1716391443.398062
395.2685494292123, 372.3909555183949, 406, 1716391443.398062
400.1298350017552, 387.3524540945177, 411, 1716391443.398062
405.3430026841222, 403.3969344470728, 417, 1716391443.398062
410.7993149243613, 420.1897368025445, 423, 1716391443.398062
416.0737420653787, 435.5077854789955, 427, 1716391443.398062
421.258824468562, 450.5663581959661, 432, 1716391443.398062
426.7092180897755, 466.3954506383095, 438, 1716391443.398062
432.3385460454086, 482.7442061210633, 444, 1716391443.398062
437.7629848599778, 498.4979203316223, 449, 1716391443.398062
443.6583912486749, 514.6954162630761, 455, 1716391443.398062
448.9055304726494, 529.1118127976809, 459, 1716391443.398062
454.0681431038188, 543.2959744272099, 464, 1716391443.398062
459.1751389395691, 557.3273301671825, 469, 1716391443.398062
464.2455400442408, 571.2581427098457, 474, 1716391443.398062
469.6338826963281, 586.0624924747397, 480, 1716391443.398062
475.8573425460082, 602.2751596737024, 487, 1716391443.398062
481.6423535980073, 617.3456287043983, 492, 1716391443.398062
487.5044097984765, 632.6168072088611, 498, 1716391443.398062
493.3091600568382, 646.984068260697, 503, 1716391443.398062
499.4400596547743, 661.4275625831229, 509, 1716391443.398062
505.5198127050901, 675.7505631903334, 515, 1716391443.398062
512.2229087626822, 690.8059634346976, 522, 1716391443.398062
518.6400298900495, 705.2190534693623, 528, 1716391443.398062
525.0323794731612, 720.2784853579086, 535, 1716391443.398062
530.6393488102624, 734.156221451676, 540, 1716391443.398062
535.893000931752, 748.5905120251386, 546, 1716391443.398062
541.1369268922447, 763.8199788413281, 552, 1716391443.398062
546.3479030599283, 779.8577144052204, 558, 1716391443.398062
551.8027010007645, 796.6458562263494, 564, 1716391443.398062
557.4259756432505, 813.9525160185435, 570, 1716391443.398062
563.1475183194625, 830.569082495885, 575, 1716391443.398062
568.6341496782181, 846.5034169697805, 580, 1716391443.398062
573.9623493636027, 861.9776324545033, 585, 1716391443.398062
579.2272729544726, 878.1814011146091, 591, 1716391443.398062
584.7158871630681, 896.1338492706428, 598, 1716391443.398062
590.0616444025448, 913.6190333351657, 603, 1716391443.398062
595.5986837132181, 931.7298728631313, 609, 1716391443.398062
601.5940201590771, 950.1816211423785, 615, 1716391443.398062
607.5907977224199, 968.6378047251806, 621, 1716391443.398062
613.2795540790782, 986.1459965110686, 626, 1716391443.398062
618.7554730165452, 1002.999142075818, 631, 1716391443.398062
625.0208781499496, 1021.195199817296, 638, 1716391443.398062
630.8743076694308, 1038.194793499482, 643, 1716391443.398062
636.7316394148834, 1054.287680208368, 648, 1716391443.398062
642.5616984402352, 1069.475503221832, 653, 1716391443.398062
647.7359229651248, 1082.954818949892, 657, 1716391443.398062
653.0793402713815, 1096.180240876925, 662, 1716391443.398062
658.6687177838372, 1110.014435676785, 668, 1716391443.398062
664.659126985346, 1124.126955366412, 674, 1716391443.398062
670.2625524818832, 1137.327798579146, 679, 1716391443.398062
676.2568124129078, 1150.791126816568, 685, 1716391443.398062
681.8466703972428, 1163.346153410286, 690, 1716391443.398062
687.1966115251378, 1175.362317921761, 695, 1716391443.398062
692.4042187733987, 1187.058795305405, 700, 1716391443.398062
697.7165137147619, 1199.573777910969, 706, 1716391443.398062
702.6925952607619, 1211.890011927001, 711, 1716391443.398062
707.9280360236202, 1226.274267203847, 718, 1716391443.398062
713.1605556739121, 1241.470607689877, 724, 1716391443.398062
718.6732471408789, 1258.436927463288, 731, 1716391443.398062
724.3142860919582, 1274.819694146405, 736, 1716391443.398062
729.4704552528216, 1290.688751087685, 741, 1716391443.398062
734.7838924206758, 1310.518768560942, 750, 1716391443.398062
739.9165333835124, 1331.104667073371, 756, 1716391443.398062
744.3000325760461, 1351.72740935944, 761, 1716391443.398062
748.4405815599144, 1373.028687262722, 766, 1716391443.398062
752.5316316389279, 1396.230185198977, 772, 1716391443.398062
756.0761434401315, 1421.450697149895, 778, 1716391443.398062
759.3573361610171, 1448.173867365735, 783, 1716391443.398062
762.8479987964483, 1476.603033131874, 788, 1716391443.398062
767.0443463040982, 1506.461597132409, 793, 1716391443.398062
771.3525406212028, 1537.115992534482, 798, 1716391443.398062
776.4597284640477, 1569.361507512974, 804, 1716391443.398062
